race,race_name,stage_number,stage,stage_date,distance,elev_gain,climb_urls,startlist_quality,profile_score,finish_type
race/world-championship/2018,World Championships ME - Road Race,,,2018-09-30,258.0,5020,[],1374,265,Sprint of small group
race/world-championship/2019,World Championships ME - Road Race,,,2019-09-29,260.7,3220,[],1443,82,Sprint of small group
race/world-championship/2020,World Championships ME - Road Race,,,2020-09-27,258.2,4662,[],1008,208,12 km solo
race/world-championship/2021,World Championships ME - Road Race,,,2021-09-26,268.3,2250,[],1357,54,17.4 km solo
race/world-championship/2022,World Championships ME - Road Race,,,2022-09-25,266.9,4167,[],1052,160,25.8 km solo
race/world-championship/2023,World Championships ME - Road Race,,,2023-08-06,271.1,3385,[],1115,73,22.3 km solo
race/amstel-gold-race/2018,Amstel Gold Race,,,2018-04-15,263.0,3496,[],1139,103,Sprint à deux
race/amstel-gold-race/2019,Amstel Gold Race,,,2019-04-21,265.7,3536,[],1020,108,Sprint of 18 riders
race/amstel-gold-race/2021,Amstel Gold Race,,,2021-04-18,218.6,2893,[],1089,81,Sprint of small group
race/amstel-gold-race/2022,Amstel Gold Race,,,2022-04-10,254.1,3460,[],705,112,Sprint à deux
race/amstel-gold-race/2023,Amstel Gold Race,,,2023-04-16,253.6,3290,[],770,109,28.2 km solo
race/milano-sanremo/2018,Milano-Sanremo,,,2018-03-17,294.0,2143,[],1096,61,7.1 km solo
race/milano-sanremo/2019,Milano-Sanremo,,,2019-03-23,291.0,2060,[],1171,60,Sprint of 41 riders
race/milano-sanremo/2020,Milano-Sanremo,,,2020-08-08,305.0,2803,[],1005,68,Sprint à deux
race/milano-sanremo/2021,Milano-Sanremo,,,2021-03-20,299.0,2020,[],1088,59,Sprint à deux
race/milano-sanremo/2022,Milano-Sanremo,,,2022-03-19,293.0,2096,[],938,63,4.3 km solo
race/milano-sanremo/2023,Milano-Sanremo,,,2023-03-18,294.0,2154,[],1047,63,5.5 km solo
race/liege-bastogne-liege/2018,Liège - Bastogne - Liège,,,2018-04-22,258.5,4109,[],1168,178,18 km solo
race/liege-bastogne-liege/2019,Liège - Bastogne - Liège,,,2019-04-28,256.0,4075,[],1087,158,13 km solo
race/liege-bastogne-liege/2020,Liège - Bastogne - Liège,,,2020-10-04,257.0,4353,[],867,182,Sprint of small group
race/liege-bastogne-liege/2021,Liège - Bastogne - Liège,,,2021-04-25,259.1,4352,[],1147,181,Sprint of small group
race/liege-bastogne-liege/2022,Liège - Bastogne - Liège,,,2022-04-24,257.2,4342,[],1101,182,14.4 km solo
race/liege-bastogne-liege/2023,Liège - Bastogne - Liège,,,2023-04-23,258.1,4443,[],1042,175,29.9 km solo
race/il-lombardia/2018,Il Lombardia,,,2018-10-13,241.0,3867,[],1025,257,13.9 km solo
race/il-lombardia/2019,Il Lombardia,,,2019-10-12,243.0,4087,[],1039,266,18.3 km solo
race/il-lombardia/2020,Il Lombardia,,,2020-08-15,231.0,3975,[],589,260,6.3 km solo
race/il-lombardia/2021,Il Lombardia,,,2021-10-09,239.0,4659,[],1069,210,Sprint à deux
race/il-lombardia/2022,Il Lombardia,,,2022-10-08,253.0,4852,[],1019,278,Sprint à deux
race/il-lombardia/2023,Il Lombardia,,,2023-10-07,238.0,4646,[],1099,206,31 km solo
race/la-fleche-wallone/2018,La Flèche Wallonne,,,2018-04-18,198.5,3257,[],1053,187,0.3 km solo
race/la-fleche-wallone/2019,La Flèche Wallonne,,,2019-04-24,195.0,2930,[],1017,179,Sprint à deux
race/la-fleche-wallone/2020,La Flèche Wallonne,,,2020-09-30,202.0,3124,[],601,167,Sprint of small group
race/la-fleche-wallone/2021,La Flèche Wallonne,,,2021-04-21,193.6,2981,[],1071,158,Sprint à deux
race/la-fleche-wallone/2022,La Flèche Wallonne,,,2022-04-20,202.1,3160,[],971,173,Sprint à deux
race/la-fleche-wallone/2023,La Flèche Wallonne,,,2023-04-19,194.3,3092,[],915,167,Sprint of small group
race/paris-roubaix/2018,Paris - Roubaix,,,2018-04-08,257.0,1309,[],811,4,Sprint à deux
race/paris-roubaix/2019,Paris - Roubaix,,,2019-04-14,257.0,1334,[],690,5,Sprint à deux
race/paris-roubaix/2021,Paris - Roubaix,,,2021-10-03,257.7,1360,[],982,5,Sprint of small group
race/paris-roubaix/2022,Paris - Roubaix,,,2022-04-17,257.2,1362,[],747,5,19.5 km solo
race/paris-roubaix/2023,Paris - Roubaix,,,2023-04-09,256.6,1380,[],775,4,15.1 km solo
race/ronde-van-vlaanderen/2018,Ronde van Vlaanderen,,,2018-04-01,264.7,2166,[],920,78,19 km solo
race/ronde-van-vlaanderen/2019,Ronde van Vlaanderen,,,2019-04-07,267.0,2164,[],881,72,17 km solo
race/ronde-van-vlaanderen/2020,Ronde van Vlaanderen,,,2020-10-18,243.3,2014,[],804,79,Sprint à deux
race/ronde-van-vlaanderen/2021,Ronde van Vlaanderen,,,2021-04-04,254.3,2198,[],872,81,Sprint à deux
race/ronde-van-vlaanderen/2022,Ronde van Vlaanderen,,,2022-04-03,272.5,2289,[],759,79,Sprint of small group
race/ronde-van-vlaanderen/2023,Ronde van Vlaanderen,,,2023-04-02,273.4,2185,[],918,76,17 km solo
race/gent-wevelgem/2018,Gent-Wevelgem,,,2018-03-25,251.1,1532,[],867,46,Sprint of 19 riders
race/gent-wevelgem/2019,Gent-Wevelgem,,,2019-03-31,249.5,1511,[],887,37,Sprint of large group
race/gent-wevelgem/2020,Gent-Wevelgem,,,2020-10-11,232.5,1360,[],682,33,Sprint of small group
race/gent-wevelgem/2021,Gent-Wevelgem,,,2021-03-28,250.0,1425,[],797,36,Sprint of small group
race/gent-wevelgem/2022,Gent-Wevelgem,,,2022-03-27,248.8,1377,[],832,35,Sprint of small group
race/gent-wevelgem/2023,Gent-Wevelgem,,,2023-03-26,260.9,1375,[],911,34,Other
race/san-sebastian/2018,Donostia San Sebastian Klasikoa,,,2018-08-04,228.7,4130,[],790,172,Sprint à deux
race/san-sebastian/2019,Donostia San Sebastian Klasikoa,,,2019-08-03,227.3,3980,[],785,188,8.8 km solo
race/san-sebastian/2021,Donostia San Sebastian Klasikoa,,,2021-07-31,223.5,4113,[],645,225,Sprint of small group
race/san-sebastian/2022,Donostia San Sebastian Klasikoa,,,2022-07-30,224.8,4147,[],724,231,44.5 km solo
race/san-sebastian/2023,Donostia San Sebastian Klasikoa,,,2023-07-29,230.3,4057,[],787,189,Sprint à deux
race/tour-de-france/2018,Tour de France,1,race/tour-de-france/2018/stage-1,2018-07-07,201.0,454,[],1689,2,Sprint of large group
race/tour-de-france/2018,Tour de France,2,race/tour-de-france/2018/stage-2,2018-07-08,182.5,1395,[],1689,14,Sprint of large group
race/tour-de-france/2018,Tour de France,3,race/tour-de-france/2018/stage-3,2018-07-09,35.5,387,[],1689,13,Time Trial
race/tour-de-france/2018,Tour de France,4,race/tour-de-france/2018/stage-4,2018-07-10,195.0,1155,[],1689,14,Sprint of large group
race/tour-de-france/2018,Tour de France,5,race/tour-de-france/2018/stage-5,2018-07-11,204.5,2704,[],1689,107,Sprint of large group
race/tour-de-france/2018,Tour de France,6,race/tour-de-france/2018/stage-6,2018-07-12,181.0,2027,[],1689,95,1.1 km solo
race/tour-de-france/2018,Tour de France,7,race/tour-de-france/2018/stage-7,2018-07-13,231.0,2255,[],1689,40,Sprint of large group
race/tour-de-france/2018,Tour de France,8,race/tour-de-france/2018/stage-8,2018-07-14,181.0,1284,[],1689,17,Sprint of large group
race/tour-de-france/2018,Tour de France,9,race/tour-de-france/2018/stage-9,2018-07-15,156.5,618,[],1689,1,Sprint of 27 riders
